id,listing_url,scrape_id,last_scraped,host_id,neighbourhood,neighbourhood_cleansed,city,state,zipcode,market,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,pastBooking,Average Weekly Earning,
10988680,https://www.airbnb.com/rooms/10988680,2.02E+13,4/2/17,2448592,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.75418395,-122.4065138,Apartment,Private room,2,1,1,1,Real Bed,,49.00,300.00,,,25.00,1,0.00,1,1125,13 months ago,0,0,0,0,4/2/17,365,343.9423077,
8053481,https://www.airbnb.com/rooms/8053481,2.02E+13,4/2/17,14419919,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.75416621,-122.4215336,Apartment,Entire home/apt,4,2,2,3,Real Bed,,220.00,1050.00,,1000.00,100.00,2,15.00,3,30,4 days ago,0,15,22,45,4/2/17,320,343.9423077,
14011173,https://www.airbnb.com/rooms/14011173,2.02E+13,4/2/17,4901696,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.75850584,-122.4061523,House,Private room,1,1,1,1,Real Bed,,100.00,,,,,1,0.00,7,1125,2 months ago,0,0,0,0,4/2/17,365,1353.846154,
16142131,https://www.airbnb.com/rooms/16142131,2.02E+13,4/2/17,50491424,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.75654875,-122.4220251,Apartment,Entire home/apt,4,1,1,2,Real Bed,,117.00,,,,,1,0.00,4,14,6 weeks ago,0,0,0,0,4/2/17,365,701.9230769,
9080622,https://www.airbnb.com/rooms/9080622,2.02E+13,4/2/17,46158576,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.76005055,-122.4213524,Apartment,Private room,1,1,1,1,Real Bed,,200.00,,,,,1,0.00,2,3,6 weeks ago,0,0,0,0,4/2/17,365,821.25,
936209,https://www.airbnb.com/rooms/936209,2.02E+13,4/2/17,1124557,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.75949488,-122.4248737,Apartment,Private room,1,1,1,1,Real Bed,,162.00,,,,65.00,1,25.00,2,12,7 weeks ago,17,47,77,352,4/2/17,13,1403.846154,
7048973,https://www.airbnb.com/rooms/7048973,2.02E+13,4/2/17,3990472,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.76099687,-122.4131237,Apartment,Entire home/apt,4,2,2,2,Real Bed,,230.00,1400.00,5000.00,400.00,100.00,4,0.00,2,1125,a week ago,4,7,7,231,4/2/17,134,40.5,
7998215,https://www.airbnb.com/rooms/7998215,2.02E+13,4/2/17,21235706,,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.75054282,-122.4165585,Apartment,Private room,2,1,1,1,Real Bed,,173.00,,,,65.00,2,35.00,1,30,2 days ago,6,36,57,332,4/2/17,33,592.6923077,
12815115,https://www.airbnb.com/rooms/12815115,2.02E+13,4/2/17,22537583,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.75628818,-122.4087377,Apartment,Entire home/apt,4,2.5,2,2,Real Bed,,600.00,,,,,1,0.00,1,1125,11 months ago,0,0,0,0,4/2/17,365,109.7884615,
10406646,https://www.airbnb.com/rooms/10406646,2.02E+13,4/2/17,338939,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.75724642,-122.4093147,Apartment,Entire home/apt,4,1,2,3,Real Bed,,250.00,,4500.00,500.00,95.00,4,0.00,2,30,today,8,11,15,15,4/2/17,350,4211.538462,
4558566,https://www.airbnb.com/rooms/4558566,2.02E+13,4/2/17,1937186,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.74932935,-122.4107925,Apartment,Entire home/apt,6,2,3,4,Real Bed,,300.00,1900.00,,,100.00,1,0.00,3,1125,7 weeks ago,0,2,17,128,4/2/17,237,1682.692308,
2771688,https://www.airbnb.com/rooms/2771688,2.02E+13,4/2/17,14168367,,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.7513531,-122.4176588,Apartment,Entire home/apt,4,1,2,2,Real Bed,,189.00,,,150.00,95.00,4,0.00,30,1125,6 weeks ago,20,50,80,355,4/2/17,10,1367.307692,
5020057,https://www.airbnb.com/rooms/5020057,2.02E+13,4/2/17,401938,,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.75199246,-122.4042105,House,Private room,2,1,1,1,Real Bed,,130.00,,,,,1,0.00,2,1125,a week ago,11,26,53,328,4/2/17,37,36.34615385,
15151013,https://www.airbnb.com/rooms/15151013,2.02E+13,4/2/17,31923647,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.76142933,-122.4193501,Apartment,Private room,2,2.5,1,1,Real Bed,,90.00,,,150.00,40.00,2,25.00,2,1125,6 months ago,0,0,0,0,4/2/17,365,92.5,
4925354,https://www.airbnb.com/rooms/4925354,2.02E+13,4/2/17,1431508,Mission District,Mission,San Francisco,CA,94103,San Francisco,US,United States,37.76652079,-122.4246601,Apartment,Private room,1,1.5,1,1,Real Bed,,95.00,550.00,,250.00,20.00,1,20.00,1,21,today,6,8,8,220,4/2/17,145,631.7307692,
13863669,https://www.airbnb.com/rooms/13863669,2.02E+13,4/2/17,155839,,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.75995514,-122.4241064,House,Entire home/apt,6,1,3,3,Real Bed,,325.00,,,,150.00,6,50.00,2,1125,today,4,7,34,54,4/2/17,311,264.9038462,
5394755,https://www.airbnb.com/rooms/5394755,2.02E+13,4/2/17,27964266,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.75870167,-122.42124,House,Private room,3,1,1,2,Real Bed,,119.00,825.00,,,60.00,2,40.00,3,28,today,12,36,44,302,4/2/17,63,1943.75,
8861480,https://www.airbnb.com/rooms/8861480,2.02E+13,4/2/17,36226893,,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.76147949,-122.4157135,Apartment,Private room,2,1,1,1,Real Bed,,134.00,,,,,1,0.00,3,1125,4 months ago,0,0,0,273,4/2/17,92,144.1730769,
14139656,https://www.airbnb.com/rooms/14139656,2.02E+13,4/2/17,9151990,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.75939066,-122.4211674,Apartment,Entire home/apt,6,2,3,3,Real Bed,,490.00,,,400.00,150.00,4,30.00,2,28,yesterday,8,11,21,43,4/2/17,322,237.0769231,
7802522,https://www.airbnb.com/rooms/7802522,2.02E+13,4/2/17,3499519,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.74961782,-122.4181314,Apartment,Private room,2,1,1,1,Real Bed,,140.00,750.00,,,25.00,1,0.00,1,1125,6 months ago,30,60,90,365,4/2/17,0,3034.230769,
15470227,https://www.airbnb.com/rooms/15470227,2.02E+13,4/2/17,487372,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.75958581,-122.4100011,House,Entire home/apt,2,1,1,1,Real Bed,,185.00,,,500.00,95.00,2,0.00,2,1125,3 weeks ago,0,1,30,30,4/2/17,335,0,
10756717,https://www.airbnb.com/rooms/10756717,2.02E+13,4/2/17,32165870,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.75560551,-122.4067193,Apartment,Entire home/apt,3,1,1,1,Real Bed,,550.00,,,1500.00,90.00,1,0.00,3,1125,14 months ago,0,0,0,0,4/2/17,365,1191.826923,
1117756,https://www.airbnb.com/rooms/1117756,2.02E+13,4/2/17,6135190,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.7505213,-122.4073568,House,Private room,2,1,1,1,Real Bed,,113.00,708.00,2499.00,,25.00,1,0.00,2,1125,today,7,19,37,286,4/2/17,79,3860.576923,
17588923,https://www.airbnb.com/rooms/17588923,2.02E+13,4/2/17,551394,Mission District,Mission,San Francisco,CA,94103,San Francisco,US,United States,37.76832743,-122.4250571,Apartment,Private room,2,1,1,1,Real Bed,,115.00,,,,82.00,1,25.00,1,7,today,24,54,83,83,4/2/17,282,171.6730769,
7228772,https://www.airbnb.com/rooms/7228772,2.02E+13,4/2/17,17368341,Mission District,Mission,San Francisco,CA,94103,San Francisco,US,United States,37.76888719,-122.4240599,Apartment,Entire home/apt,2,1,0,1,Real Bed,,155.00,1000.00,3000.00,,30.00,1,0.00,1,1125,2 months ago,0,0,0,0,4/2/17,365,623.6538462,
15501322,https://www.airbnb.com/rooms/15501322,2.02E+13,4/2/17,5740322,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.75134306,-122.4226501,Apartment,Private room,1,1,1,1,Real Bed,,45.00,,,,50.00,1,0.00,10,1125,5 months ago,0,0,0,0,4/2/17,365,1087.980769,
4624467,https://www.airbnb.com/rooms/4624467,2.02E+13,4/2/17,1502207,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.75506955,-122.4168171,Apartment,Private room,2,1.5,1,1,Real Bed,,169.00,,,1000.00,60.00,2,30.00,2,1125,4 weeks ago,30,60,90,365,4/2/17,0,315.8653846,
856123,https://www.airbnb.com/rooms/856123,2.02E+13,4/2/17,16382,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.7622065,-122.4198954,Condominium,Private room,1,1,1,1,Real Bed,,186.00,928.00,3276.00,,65.00,1,0.00,28,180,a week ago,0,0,1,90,4/2/17,275,0,
9490490,https://www.airbnb.com/rooms/9490490,2.02E+13,4/2/17,48961311,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.753852,-122.4111577,Apartment,Private room,2,1,1,1,Real Bed,,77.00,,,,25.00,1,0.00,1,1125,17 months ago,0,0,0,0,4/2/17,365,983.6538462,
865873,https://www.airbnb.com/rooms/865873,2.02E+13,4/2/17,2238981,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.76251893,-122.4242846,Apartment,Entire home/apt,4,2,2,2,Real Bed,,250.00,1000.00,,2000.00,150.00,1,20.00,5,1125,today,9,39,68,68,4/2/17,297,540.4807692,
6834158,https://www.airbnb.com/rooms/6834158,2.02E+13,4/2/17,5792346,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.76531007,-122.4246905,Apartment,Entire home/apt,3,1,0,1,Real Bed,,235.00,1950.00,7200.00,,62.00,2,20.00,1,1125,17 months ago,0,0,0,0,4/2/17,365,1427.884615,
13846498,https://www.airbnb.com/rooms/13846498,2.02E+13,4/2/17,17724381,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.76362666,-122.4253853,House,Private room,2,1,1,1,Real Bed,,80.00,,,100.00,50.00,1,10.00,1,1125,8 months ago,0,0,0,0,4/2/17,365,1649.519231,
1101403,https://www.airbnb.com/rooms/1101403,2.02E+13,4/2/17,2335495,Mission District,Mission,San Francisco,CA,94103,San Francisco,US,United States,37.7681406,-122.4253676,Condominium,Entire home/apt,5,2,2,3,Real Bed,,300.00,,,600.00,120.00,5,0.00,2,1125,7 weeks ago,0,0,0,0,4/2/17,365,561.5384615,
15566812,https://www.airbnb.com/rooms/15566812,2.02E+13,4/2/17,1283283,Mission District,Mission,San Francisco,CA,94110,San Francisco,US,United States,37.75866765,-122.42388,Apartment,Entire home/apt,3,1,1,2,Real Bed,,200.00,,,,,1,0.00,7,1125,4 days ago,2,2,3,19,4/2/17,346,2105.769231,
